sku,brands,model_no,series_name,laptop_processor,laptop_ram,hard_disk_drive_storage,warranty,laptop_warranty_summary,laptop_remark
QCDTAG00067,Dell,DELL OPTIPLEX 330,OPTIPLEX,Core 2 Duo,2 GB,160 GB,1 Month warranty,1 Month Warranty.,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Power Cord and is backed by 1 Month Warranty."
QCDTAG00065,Dell,DELL OPTIPLEX 360,OPTIPLEX,Core 2 Duo,2 GB,160 GB,1 Month warranty,1 Month Warranty.,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Power Cord and is backed by 1 Month Warranty."
QCDTAG00066,Dell,DELL OPTIPLEX 380,OPTIPLEX,Core 2 Duo,2 GB,160 GB,1 Month warranty,1 Month Warranty.,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Power Cord and is backed by 1 Month Warranty."
QCDTAG00058,Dell,DELL OPTIPLEX 745,OPTIPLEX,Core 2 Duo,2 GB,160 GB,1 Month warranty,1 Month Warranty.,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Power Cord and is backed by 1 Month Warranty."
QCDTAG00059,Dell,DELL OPTIPLEX 745,OPTIPLEX,Core 2 Duo,2 GB,160 GB,1 Month warranty,1 Month Warranty.,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Power Cord and is backed by 1 Month Warranty."
QCDTAG00068,Dell,DELL OPTIPLEX 755,OPTIPLEX,Core 2 Duo,2 GB,160 GB,1 Month warranty,1 Month Warranty.,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Power Cord and is backed by 1 Month Warranty."
QCDTAG00089,Dell,DELL OPTIPLEX 780,OPTIPLEX,Core 2 Duo,4 GB,250 GB,1 Month warranty,1 Month Warranty.,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Power Cord and is backed by 1 Month Warranty."
QCDTAG00088,Dell,DELL OPTIPLEX 780,OPTIPLEX,Core 2 Duo,2 GB,80 GB,1 Month warranty,1 Month Warranty.,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Power Cord and is backed by 1 Month Warranty."
QCDTAG00082,HCL,INFINITI PRO BL 1280,INFINITI,Core 2 Duo,2 GB,160 GB,1 Month warranty,1 Month Warranty.,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Power Cord and is backed by 1 Month Warranty."
QCDTAG00053,HP,COMPAQ BUSINESS DC7700P,COMPAQ BUSINESS,Core 2 Duo,2 GB,160 GB,1 Month warranty,1 Month Warranty.,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Power Cord and is backed by 1 Month Warranty."
QCDTAG00054,HP,COMPAQ BUSINESS DC7700P,COMPAQ BUSINESS,Core 2 Duo,2 GB,250 GB,1 Month warranty,1 Month Warranty.,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Power Cord and is backed by 1 Month Warranty."
