sku,brands,model_no,laptop_processor,laptop_ram,storage_capacity,webcam,screen_size,laptop_operating_system,warrenty,laptop_warranty_summary,laptop_remark
QCNBBG00198,Acer,ASPIRE S7 391,Intel Core i5,4 GB,120 GB,Yes,33.7 cm(13.3 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00222,Dell,INSPIRON N5010,Intel Core i5,4 GB,160 GB,Yes,39.6 cm (15.6 Inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00224,Dell,INSPIRON N5010,Intel Core i5,4 GB,1 TB,Yes,39.6 cm (15.6 Inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00223,Dell,INSPIRON N5010,Intel Core i5,4 GB,320 GB,Yes,39.6 cm (15.6 Inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBB002324,Dell,INSPIRON N5110,Intel Core i5 2nd Gen,2 GB,500 GB,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00165,Dell,LATITUDE E4310,Intel Core i5,4 GB,250 GB,No,33.7 cm(13.3 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00271,Dell,LATITUDE E4310,Intel Core i5,4 GB,250 GB,No,33.7 cm(13.3 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00272,Dell,LATITUDE E4310,Intel Core i5,4 GB,250 GB,Yes,33.7 cm(13.3 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00036,Dell,LATITUDE E5420,Intel Core i5 2nd Gen,2 GB,250 GB,No,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00226,Dell,LATITUDE E5420,Intel Core i5 2nd Gen,4 GB,250 GB,No,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00273,Dell,LATITUDE E5420,Intel Core i5 2nd Gen,4 GB,320 GB,No,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBB002315,Dell,LATITUDE E5420,Intel Core i5 2nd Gen,6 GB,250 GB,No,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00229,Dell,LATITUDE E5520,Intel Core i7 2nd Gen,8 GB,500 GB,Yes,39.6 cm (15.6 Inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBB002319,Dell,LATITUDE E6220,Intel Core i5 2nd Gen,4 GB,320 GB,Yes,31.7 cm(12.5 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
