store,websites,attribute_set,type,category_ids,sku,status,is_recurring,visibility,tax_class_id,ebizmarts_mark_visited,brands,remove_compare_link,cash_on_delivery,free_home_delivery,laptop_processor,is_superdeal,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,product_type_id,laptop_warranty_summary,laptop_freebag,laptop_touchscreen,laptop_battery
admin,base,Laptops,simple,"3,11",QCPNBK00249,2,No,"Catalog, Search",GST0.36,No,Lenovo,Yes,Yes,Yes,Core i5,No,QCNBK-B,Lenovo-L512(CORE I5-M520 / 2.40GHZ / 2GB / 120GB) LR-55ZEE,15 Days Testing Warranty.,L512,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Lenovo-L512(CORE I5-M520 / 2.40GHZ / 2GB / 120GB) LR-55ZEE,simple,15 Days Testing Warranty.,No,No,10.8 V --4400mAh
admin,base,Laptops,simple,"3,11",SYGNBQB0228,2,No,"Catalog, Search",GST0.36,No,Dell,Yes,Yes,Yes,Core i5,No,QCNBK-B,"Dell-LATITUDE E5420(Core I5 2320M 2.50GHz/4GB/250GB Dos 15.6"") 3C2PWQ1",15 Days Testing Warranty.,LATITUDE E5420,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-LATITUDE E5420(Core I5 2320M 2.50GHz/4GB/250GB Dos 15.6"") 3C2PWQ1",simple,15 Days Testing Warranty.,No,No,11.1V--60Wh
admin,base,Laptops,simple,"3,11",SYGNBQB0229,2,No,"Catalog, Search",GST0.36,No,Lenovo,Yes,Yes,Yes,,No,QCNBK-B,"Lenovo-G550(Dual Core T4300 2.10GHz/2GB/500GB 15.0"") CBQ0723671",15 Days Testing Warranty.,G550,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Lenovo-G550(Dual Core T4300 2.10GHz/2GB/500GB 15.0"") CBQ0723671",simple,15 Days Testing Warranty.,No,No,10.8V--4400mAh
admin,base,Laptops,simple,"3,11",REFDE00222,2,No,"Catalog, Search",GST0.36,No,Dell,Yes,Yes,Yes,Core i3,No,QCNBK-B,"Dell-INSP 3558(Core I3 5005U 2.00GHz/4GB/1TB 15.6"") G8HZB82",15 Days Testing Warranty.,INSP 3558,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP 3558(Core I3 5005U 2.00GHz/4GB/1TB 15.6"") G8HZB82",simple,15 Days Testing Warranty.,No,No,14.8V--2700mAh
admin,base,Laptops,simple,"3,11",SYGNBQB0230,2,No,"Catalog, Search",GST0.36,No,Dell,Yes,Yes,Yes,Core i5,No,QCNBK-B,"Dell-INSP N5010(Core I5 M450 2.40GHz/4GB/320GB 15.6"") 5JTV6BS",15 Days Testing Warranty.,INSP N5010,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP N5010(Core I5 M450 2.40GHz/4GB/320GB 15.6"") 5JTV6BS",simple,15 Days Testing Warranty.,No,No,11.1V--48Wh
admin,base,Laptops,simple,"3,11",SYGNBQB0231,2,No,"Catalog, Search",GST0.36,No,Lenovo ,Yes,Yes,Yes,Core i5,No,QCNBK-B,"Lenovo -Thinkpad L420(Core I5 2520M 2.50GHz/4GB/320GB 14"") LR-4LG8L",15 Days Testing Warranty.,Thinkpad L420,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Lenovo -Thinkpad L420(Core I5 2520M 2.50GHz/4GB/320GB 14"") LR-4LG8L",simple,15 Days Testing Warranty.,No,No,14.4V--32WH
admin,base,Laptops,simple,"3,11",SYGNBQB0232,2,No,"Catalog, Search",GST0.36,No,HP,Yes,Yes,Yes,Core i5,No,QCNBK-B,"HP-Pavillion 15-n209TX(Core I5 4200U 1.60GHz/8GB/1TB 15.6"") 5CD3523Y8T",15 Days Testing Warranty.,Pavillion 15-n209TX,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavillion 15-n209TX(Core I5 4200U 1.60GHz/8GB/1TB 15.6"") 5CD3523Y8T",simple,15 Days Testing Warranty.,No,No,10.8V--5200mAh
admin,base,Laptops,simple,"3,11",QCNBB001603,2,No,"Catalog, Search",GST0.36,No,Dell,Yes,Yes,Yes,Core i3,No,QCNBK-B,"Dell-Insp 3421(Core I3 3227U 1.90GHz/4GB/500GB 14"") 5S8GKW1",15 Days Testing Warranty.,Insp 3421,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Insp 3421(Core I3 3227U 1.90GHz/4GB/500GB 14"") 5S8GKW1",simple,15 Days Testing Warranty.,No,No,11.1V--65WH
admin,base,Laptops,simple,"3,11",SYGNBQB0233,2,No,"Catalog, Search",GST0.36,No,Apple,Yes,Yes,Yes,Core i7,No,QCNBK-B,"Apple-A1278(Core I7 2.50GHz/10GB/500GB 13.0"") C1MPL8VDTY3",15 Days Testing Warranty.,A1278,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Apple-A1278(Core I7 2.50GHz/10GB/500GB 13.0"") C1MPL8VDTY3",simple,15 Days Testing Warranty.,No,No,In Build
admin,base,Laptops,simple,"3,11",OPNBNTF0111,2,No,"Catalog, Search",GST0.36,No,Dell,Yes,Yes,Yes,Core i3,No,QCNBK-B,"Dell-INSP 15- 3521(Core I3 3217U 1.80GHz/3GB/500Gb 15..6"") 2YYHDW1",15 Days Testing Warranty.,INSP 15- 3521,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP 15- 3521(Core I3 3217U 1.80GHz/3GB/500Gb 15..6"") 2YYHDW1",simple,15 Days Testing Warranty.,No,No,11.1V--4400mAh
