store,websites,attribute_set,type,category_ids,sku,status,is_recurring,visibility,tax_class_id,brands,laptop_processor,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,product_type_id,laptop_warranty_summary,laptop_freebag,laptop_touchscreen,laptop_battery,price,color,mapped_status
admin,base,Laptops,simple,"3,11",SYGNBQB0269,2,No,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-Insprion 15R (Core I5 4200U 1.60GHz/6GB/1TB 15.6"") D950HY1",15 Days Testing Warranty.,Insprion 15R,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Insprion 15R (Core I5 4200U 1.60GHz/6GB/1TB 15.6"") D950HY1",simple,15 Days Testing Warranty.,No,No,11.1V--40WH,0.00,Grey,No
admin,base,Laptops,simple,"3,11",QCNBB001725,2,No,"Catalog, Search",GST0.36,Sony,Core i3,QCNBK-B,"Sony-SVF152C1WW (Core I3 3217U 1.80GHz/4GB/500GB 15.6"") 54580168-0015969",15 Days Testing Warranty.,SVF152C1WW,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Sony-SVF152C1WW (Core I3 3217U 1.80GHz/4GB/500GB 15.6"") 54580168-0015969",simple,15 Days Testing Warranty.,No,No,14.8V--2200mAh,0.00,Black,No
admin,base,Laptops,simple,"3,11",QCNBB001726,2,No,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,"Dell-Vostro 3500 (Core I3 M380 2.53GHz/2GB/320GB 15.4"") FZQJ8BS",15 Days Testing Warranty.,Vostro 3500,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Vostro 3500 (Core I3 M380 2.53GHz/2GB/320GB 15.4"") FZQJ8BS",simple,15 Days Testing Warranty.,No,No,11.1V--4400mAh,0.00,Black,No
admin,base,Laptops,simple,"3,11",QCNBB001727,2,No,"Catalog, Search",GST0.36,Lenovo,Core i3,QCNBK-B,"Lenovo-Z560 (Core I3 M370/2.40GHz/3GB/500GB 15.6"") CBQ3290450",15 Days Testing Warranty.,Z560,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Lenovo-Z560 (Core I3 M370/2.40GHz/3GB/500GB 15.6"") CBQ3290450",simple,15 Days Testing Warranty.,No,No,10.8V--48WH,0.00,Black,No
admin,base,Laptops,simple,"3,11",SYGNBQB0270,2,No,"Catalog, Search",GST0.36,HP,Core i5,QCNBK-B,"HP-Probook 4430S (Core I5 2450M 2.50GHz/6GB/500GB 14.0"") INA216T4K5",15 Days Testing Warranty.,Probook 4430S,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Probook 4430S (Core I5 2450M 2.50GHz/6GB/500GB 14.0"") INA216T4K5",simple,15 Days Testing Warranty.,No,No,10.8V--4200mAh,0.00,Grey,No
admin,base,Laptops,simple,"3,11",SYGNBQB0271,2,No,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,"Dell-Studio 1558 (Core I3 M350 2.27GHz/3GB/320GB 15.6"") 497L5BS",15 Days Testing Warranty.,Studio 1558,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Studio 1558 (Core I3 M350 2.27GHz/3GB/320GB 15.6"") 497L5BS",simple,15 Days Testing Warranty.,No,No,11.1V--4400mAh,0.00,Blue,No
admin,base,Laptops,simple,"3,11",QCNBB001728,2,No,"Catalog, Search",GST0.36,Sony,Core i3,QCNBK-B,"Sony-PCG-71211W (Core I3/3GB/500GB 15.6"") C604WBB4",15 Days Testing Warranty.,PCG-71211W,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Sony-PCG-71211W (Core I3/3GB/500GB 15.6"") C604WBB4",simple,15 Days Testing Warranty.,No,No,11.1V--3500MAH,0.00,Black,No
admin,base,Laptops,simple,"3,11",QCNBB001729,2,No,"Catalog, Search",GST0.36,Compaq,,QCNBK-B,"Compaq-Presario CQ60 (AMD Dual core QL60 1.90GHz/1GB/160GB 15"") 2CE8434HBF",15 Days Testing Warranty.,Presario CQ60,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Compaq-Presario CQ60 (AMD Dual core QL60 1.90GHz/1GB/160GB 15"") 2CE8434HBF",simple,15 Days Testing Warranty.,No,No,10.8V--4400mAh,0.00,Black,No
admin,base,Laptops,simple,"3,11",SYGNBQB0272,2,No,"Catalog, Search",GST0.36,Dell,,QCNBK-B,"Dell-Insp 1525 (Core 2 Duo 2.00GHz/2GB/500GB 15.6"") F25S2BS",15 Days Testing Warranty.,Insp 1525,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Insp 1525 (Core 2 Duo 2.00GHz/2GB/500GB 15.6"") F25S2BS",simple,15 Days Testing Warranty.,No,No,11.1V--41WH,0.00,Black,No
admin,base,Laptops,simple,"3,11",SYGNBQB0273,2,No,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-INSP N5110 (Core I5 2410M 2.30GHz/4GB/120GB 15.6"") GD0XKR1",15 Days Testing Warranty.,INSP N5110,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP N5110 (Core I5 2410M 2.30GHz/4GB/120GB 15.6"") GD0XKR1",simple,15 Days Testing Warranty.,No,No,11.1V--56Wh,0.00,Brown,No
