store,websites,attribute_set,type,category_ids,sku,status,is_recurring,visibility,tax_class_id,brands,laptop_processor,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,is_in_stock,product_name,product_type_id,laptop_warranty_summary,laptop_battery,price,mapped_status,color
admin,base,Laptops,simple,"3,11",SYGNBQB0479,2,No,"Catalog, Search",GST0.36,HP,Core i7,QCNBK-B,"HP-DV6-3124TX(Core i7 Q720 1.60GHz/4GB/640GB 15.6"")DV6-3124TX",1 Year  Warranty.,DV6-3124TX,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-DV6-3124TX(Core i7 Q720 1.60GHz/4GB/640GB 15.6"")DV6-3124TX",simple,1 Year  Warranty.,10.8V--55WH,0.00,No,Rose
admin,base,Laptops,simple,"3,11",SYGNBQB0480,2,No,"Catalog, Search",GST0.36,Apple,Core i5,QCNBK-B,"Apple-Macbook A1466(Core I5 1.4GHz/8GB/256SSD 13.0"")Macbook A1466",1 Year  Warranty.,Macbook A1466,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Apple-Macbook A1466(Core I5 1.4GHz/8GB/256SSD 13.0"")Macbook A1466",simple,1 Year  Warranty.,Inbuild,0.00,No,Silver
admin,base,Laptops,simple,"3,11",QCNBB001936,2,No,"Catalog, Search",GST0.36,Sony,Core i3,QCNBK-B,"Sony-PCG-71311W(Core I3 M380 2.53GHz/2GB/500GB 15.6"")PCG-71311W",1 Year  Warranty.,PCG-71311W,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Sony-PCG-71311W(Core I3 M380 2.53GHz/2GB/500GB 15.6"")PCG-71311W",simple,1 Year  Warranty.,11.1V--3500MAH,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001937,2,No,"Catalog, Search",GST0.36,Asus,,QCNBK-B,"Asus-X401A(Pentium B980 2.40GHz/4GB/320GB 14.0"")X401A",1 Year  Warranty.,X401A,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Asus-X401A(Pentium B980 2.40GHz/4GB/320GB 14.0"")X401A",simple,1 Year  Warranty.,10.8V--4400mAh,0.00,No,White
admin,base,Laptops,simple,"3,11",SYGNBQB0481,2,No,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-Mini 210-1099TU(Atom N450 1.66GHz/1GB/160GB 10.1"")Mini 210-1099TU",1 Year  Warranty.,Mini 210-1099TU,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-Mini 210-1099TU(Atom N450 1.66GHz/1GB/160GB 10.1"")Mini 210-1099TU",simple,1 Year  Warranty.,10.8V--28Wh,0.00,No,Red
admin,base,Laptops,simple,"3,11",QCNBB001938,2,No,"Catalog, Search",GST0.36,Asus,Core i7,QCNBK-B,"Asus-X53S(Core i7 2670M 2.20GHz/6GB/750GB 15.6"")X53S",1 Year  Warranty.,X53S,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Asus-X53S(Core i7 2670M 2.20GHz/6GB/750GB 15.6"")X53S",simple,1 Year  Warranty.,10.8V--5200mAh,0.00,No,Brown
admin,base,Laptops,simple,"3,11",QCNBB001952,2,No,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,"Dell-Insp N4010(Core i3 M380 2.53GHz/3GB/320GB 14"")Insp N4010",1 Year  Warranty.,Insp N4010,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-Insp N4010(Core i3 M380 2.53GHz/3GB/320GB 14"")Insp N4010",simple,1 Year  Warranty.,11.1V--4400mAh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001953,2,No,"Catalog, Search",GST0.36,Toshiba,Core i3,QCNBK-B,"Toshiba-Satellite A505-S6004(Core I3 M330 2.13GHz/4GB/NO HDD 15.6"")Satellite A505-S6004",1 Year  Warranty.,Satellite A505-S6004,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Toshiba-Satellite A505-S6004(Core I3 M330 2.13GHz/4GB/NO HDD 15.6"")Satellite A505-S6004",simple,1 Year  Warranty.,10.8V--4900MAH,0.00,No,Black
admin,base,Laptops,simple,"3,11",SYGNBQB0482,2,No,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-Insp 7520(Core i5 3210 2.50GHz/4GB/1TB 15.6"")Insp 7520",1 Year  Warranty.,Insp 7520,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-Insp 7520(Core i5 3210 2.50GHz/4GB/1TB 15.6"")Insp 7520",simple,1 Year  Warranty.,11.1V--56WH,0.00,No,Black
admin,base,Laptops,simple,"3,11",SYGNBQB0483,2,No,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,"Dell-Insp 5559(Core i3 6100U 2.30GHz/4GB/1TB 15.6"")Insp 5559",1 Year  Warranty.,Insp 5559,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-Insp 5559(Core i3 6100U 2.30GHz/4GB/1TB 15.6"")Insp 5559",simple,1 Year  Warranty.,17.4V--40WH,0.00,No,Red
admin,base,Laptops,simple,"3,11",SYGNBQB0484,2,No,"Catalog, Search",GST0.36,Lenovo,,QCNBK-B,"Lenovo-100S(Atom Z3735 F 1.33GHz/2GB/32GB SSD 11"")100S",1 Year  Warranty.,100S,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Lenovo-100S(Atom Z3735 F 1.33GHz/2GB/32GB SSD 11"")100S",simple,1 Year  Warranty.,Inbuild,0.00,No,Silver
admin,base,Laptops,simple,"3,11",SYGNBQB0485,2,No,"Catalog, Search",GST0.36,Lenovo,Core i5,QCNBK-B,"Lenovo-Ideapad 500s -14ISK(Core i5 6200U 2.30GHz/4GB/1TB 14.0"")Ideapad 500s -14ISK",1 Year  Warranty.,Ideapad 500s -14ISK,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Lenovo-Ideapad 500s -14ISK(Core i5 6200U 2.30GHz/4GB/1TB 14.0"")Ideapad 500s -14ISK",simple,1 Year  Warranty.,Inbuild,0.00,No,Silver
admin,base,Laptops,simple,"3,11",QCNBB001939,2,No,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-G6-2320AX(AMD A4-4300M 2.50GHz/4GB/500GB 15.6"")G6-2320AX",1 Year  Warranty.,G6-2320AX,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-G6-2320AX(AMD A4-4300M 2.50GHz/4GB/500GB 15.6"")G6-2320AX",simple,1 Year  Warranty.,10.8V--47WH,0.00,No,Brown
admin,base,Laptops,simple,"3,11",QCNBB001954,2,No,"Catalog, Search",GST0.36,Asus,,QCNBK-B,"Asus-Eeepc 1015cx(Atom N2600 1.60GHz/1GB/320GB 10"")Eeepc 1015cx",1 Year  Warranty.,Eeepc 1015cx,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Asus-Eeepc 1015cx(Atom N2600 1.60GHz/1GB/320GB 10"")Eeepc 1015cx",simple,1 Year  Warranty.,11.1V--4400mAh,0.00,No,Black
