store,websites,attribute_set,type,category_ids,sku,status,visibility,tax_class_id,brands,laptop_processor,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,product_type_id,laptop_warranty_summary,laptop_freebag,laptop_battery,price,mapped_status,color
admin,base,Laptops,simple,"3,11",SYGNBQB0326,2,"Catalog, Search",GST0.36,Compaq,,QCNBK-B,"Compaq-Presario V6000(Core 2 Duo T5500 1.73GHz/1.2GB/120GB 14.0"")CNF7222RVV",15 Days Testing Warranty.,Presario V6000,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Compaq-Presario V6000(Core 2 Duo T5500 1.73GHz/1.2GB/120GB 14.0"")CNF7222RVV",simple,15 Days Testing Warranty.,No,10.8V--4400mAh,0.00,No,Grey
admin,base,Laptops,simple,"3,11",SYGNBQB0327,2,"Catalog, Search",GST0.36,Sony,,QCNBK-B,"Sony-PCG-5KGP(Core 2 Duo T8100 2.10GHz/2GB/250GB 14.0"")C102CCZB",15 Days Testing Warranty.,PCG-5KGP,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Sony-PCG-5KGP(Core 2 Duo T8100 2.10GHz/2GB/250GB 14.0"")C102CCZB",simple,15 Days Testing Warranty.,No,11.1V--4800mAh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001812,2,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-Vostro 1550(Core I5 2430M 2.40GHz/4GB/500GB 15.6"")7W3PBR1",15 Days Testing Warranty.,Vostro 1550,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Vostro 1550(Core I5 2430M 2.40GHz/4GB/500GB 15.6"")7W3PBR1",simple,15 Days Testing Warranty.,No,11.1V--56Wh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001813,2,"Catalog, Search",GST0.36,Samsung,,QCNBK-B,"Samsung-N100(Atom ™ N435 1.33GHz/1GB/320GB 10.0"")HKUG93PB80183W",15 Days Testing Warranty.,N100,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Samsung-N100(Atom ™ N435 1.33GHz/1GB/320GB 10.0"")HKUG93PB80183W",simple,15 Days Testing Warranty.,No,11.1V--48Wh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001814,2,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-Pavillion DV3-21211X(Core 2 Duo T6500 2.10GHz/2GB/320GB 14.0"")CND9312X26",15 Days Testing Warranty.,Pavillion DV3-21211X,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavillion DV3-21211X(Core 2 Duo T6500 2.10GHz/2GB/320GB 14.0"")CND9312X26",simple,15 Days Testing Warranty.,No,10.8V--4400mAh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001815,2,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-Pavillion DV4(Core 2 Duo T6400 2.00GHz/4GB/250GB 14.0"")CND9093T6C",15 Days Testing Warranty.,Pavillion DV4,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavillion DV4(Core 2 Duo T6400 2.00GHz/4GB/250GB 14.0"")CND9093T6C",simple,15 Days Testing Warranty.,No,10.8V--4200mAh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001816,2,"Catalog, Search",GST0.36,Acer,,QCNBK-B,"Acer-E-Machines(Pentium Dual Core T4400 2.20GHz/1GB/250GB 15.6"")LXN780C009001454E41601",15 Days Testing Warranty.,E-Machines,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Acer-E-Machines(Pentium Dual Core T4400 2.20GHz/1GB/250GB 15.6"")LXN780C009001454E41601",simple,15 Days Testing Warranty.,No,10.8V--48Wh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001817,2,"Catalog, Search",GST0.36,Sony,,QCNBK-B,"Sony-PCG-7133L(Pentium Dual T2390 1.86GHz/3GB/160GB 15.6"")C3LRMU8L",15 Days Testing Warranty.,PCG-7133L,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Sony-PCG-7133L(Pentium Dual T2390 1.86GHz/3GB/160GB 15.6"")C3LRMU8L",simple,15 Days Testing Warranty.,No,11.1V--4800mAh,0.00,No,Blue
admin,base,Laptops,simple,"3,11",QCNBB001818,2,"Catalog, Search",GST0.36,HP,Core i3,QCNBK-B,"HP-240 G4(Core I3 5005U 2.00GHz/4GB/500GB 14.0"")5CG5384BCG",15 Days Testing Warranty.,240 G4,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-240 G4(Core I3 5005U 2.00GHz/4GB/500GB 14.0"")5CG5384BCG",simple,15 Days Testing Warranty.,No,10.95V--2670mAh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001819,2,"Catalog, Search",GST0.36,Lenovo,Core i7,QCNBK-B,"Lenovo-Z500(Core I7 3612M 2.10GHz/8GB/500GB 15.6"")3230941101040",15 Days Testing Warranty.,Z500,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Lenovo-Z500(Core I7 3612M 2.10GHz/8GB/500GB 15.6"")3230941101040",simple,15 Days Testing Warranty.,No,In Build,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001820,2,"Catalog, Search",GST0.36,Acer,Core i3,QCNBK-B,"Acer-Aspire 5745(Core I3 M380 2.53GHz/4GB/500GB 15.6"")LXPTW0C058110136F62500",15 Days Testing Warranty.,Aspire 5745,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Acer-Aspire 5745(Core I3 M380 2.53GHz/4GB/500GB 15.6"")LXPTW0C058110136F62500",simple,15 Days Testing Warranty.,No,11.1V--6000mAh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001821,2,"Catalog, Search",GST0.36,Samsung,Core i3,QCNBK-B,Samsung-RV411(CORE I3 / 4GB / 500GB)FZL293AB500025H,15 Days Testing Warranty.,RV411,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Samsung-RV411(CORE I3 / 4GB / 500GB)FZL293AB500025H,simple,15 Days Testing Warranty.,No,10.1V---4800mAh,0.00,No,Silver
admin,base,Laptops,simple,"3,11",QCNBB001822,2,"Catalog, Search",GST0.36,Acer,Core i3,QCNBK-B,"Acer-Aspire 4755(Core I3 2310M 2.10GHz/2GB/500GB 14.1"")LXRPT0C0331270F6022000",15 Days Testing Warranty.,Aspire 4755,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Acer-Aspire 4755(Core I3 2310M 2.10GHz/2GB/500GB 14.1"")LXRPT0C0331270F6022000",simple,15 Days Testing Warranty.,No,10.8V--4400mAh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001823,2,"Catalog, Search",GST0.36,Samsung,,QCNBK-B,Samsung-N148T(Atom N550 1.50GHz/1GB/160GB Dos)ZXYY93KZB01717J,15 Days Testing Warranty.,N148T,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Samsung-N148T(Atom N550 1.50GHz/1GB/160GB Dos)ZXYY93KZB01717J,simple,15 Days Testing Warranty.,No,11.1V--4400MAh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001824,2,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-Pavillion DV6-1211AX(Core 2 Duo T6400 2.00GHz/4GB/320GB Dos 16.0"")CNF9310HRB",15 Days Testing Warranty.,Pavillion DV6-1211AX,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavillion DV6-1211AX(Core 2 Duo T6400 2.00GHz/4GB/320GB Dos 16.0"")CNF9310HRB",simple,15 Days Testing Warranty.,No,10.8V--55Wh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001825,2,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-Pavillion DV5-1152TX(Core 2 Duo T6400 2.00GHz/4GB/500GB 15.0"")CNF9212W2X",15 Days Testing Warranty.,Pavillion DV5-1152TX,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavillion DV5-1152TX(Core 2 Duo T6400 2.00GHz/4GB/500GB 15.0"")CNF9212W2X",simple,15 Days Testing Warranty.,No,,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001826,2,"Catalog, Search",GST0.36,Sony,,QCNBK-B,"Sony-PCG-7142L(Pentium Dual core T3200 2.00GHz/2GB/160GB 15.0"")C6U0L16M",15 Days Testing Warranty.,PCG-7142L,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Sony-PCG-7142L(Pentium Dual core T3200 2.00GHz/2GB/160GB 15.0"")C6U0L16M",simple,15 Days Testing Warranty.,No,10.8V--4200mAh,0.00,No,White
admin,base,Laptops,simple,"3,11",QCNBB001827,2,"Catalog, Search",GST0.36,Dell,,QCNBK-B,"Dell-Vostro 1500(Core 2 Duo T7250 2.00GHz/3GB/160GB 15.0"")7KPLYF1",15 Days Testing Warranty.,Vostro 1500,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Vostro 1500(Core 2 Duo T7250 2.00GHz/3GB/160GB 15.0"")7KPLYF1",simple,15 Days Testing Warranty.,No,11.1V--4400mAh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001828,2,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-Pavillion G4(AMD A4-3330HX APU Redeon 2.00GHz/500GB 15.6"")5CD32512MC",15 Days Testing Warranty.,Pavillion G4,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavillion G4(AMD A4-3330HX APU Redeon 2.00GHz/500GB 15.6"")5CD32512MC",simple,15 Days Testing Warranty.,No,10.8V--56Wh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001829,2,"Catalog, Search",GST0.36,Dell,,QCNBK-B,"Dell-Latitude D630(Core 2 Duo T7500 1GB/80GB 14.0"")HYZP1BS",15 Days Testing Warranty.,Latitude D630,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Latitude D630(Core 2 Duo T7500 1GB/80GB 14.0"")HYZP1BS",simple,15 Days Testing Warranty.,No,11.1V--4400mAh,0.00,No,Grey
admin,base,Laptops,simple,"3,11",QCNBB001830,2,"Catalog, Search",GST0.36,Sony,,QCNBK-B,"Sony-PCG-3E7P(Pentium Dual T4300 2.16GHz/2GB/320GB 14.0"")28278486-7000896",15 Days Testing Warranty.,PCG-3E7P,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Sony-PCG-3E7P(Pentium Dual T4300 2.16GHz/2GB/320GB 14.0"")28278486-7000896",simple,15 Days Testing Warranty.,No,10.8V--48Wh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001831,2,"Catalog, Search",GST0.36,Acer,Core i3,QCNBK-B,"Acer-Aspire E5-571(Core I3 4005U 1.70GHz/4GB/1TB 15.6"")NXMLTSI0065060CFAA3400",15 Days Testing Warranty.,Aspire E5-571,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Acer-Aspire E5-571(Core I3 4005U 1.70GHz/4GB/1TB 15.6"")NXMLTSI0065060CFAA3400",simple,15 Days Testing Warranty.,No,11.1V--4700MAH,0.00,No,Grey
admin,base,Laptops,simple,"3,11",QCNBB001832,2,"Catalog, Search",GST0.36,Acer,Core i3,QCNBK-B,"Acer-Aspire 5741(Core I3 M350 2.27GHz/4GB/500GB 15.6"")LXPW00208702146C381601",15 Days Testing Warranty.,Aspire 5741,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Acer-Aspire 5741(Core I3 M350 2.27GHz/4GB/500GB 15.6"")LXPW00208702146C381601",simple,15 Days Testing Warranty.,No,10.8V--4400mAh,0.00,No,Black
