store,websites,attribute_set,type,category_ids,sku,status,is_recurring,visibility,tax_class_id,brands,laptop_processor,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,product_type_id,laptop_warranty_summary,laptop_freebag,laptop_touchscreen,laptop_battery
admin,base,Laptops,simple,"3,11",QCNBB001608,2,No,"Catalog, Search",GST0.36,HP,,QCNBK-B,HP-Pavillion DV6500 (Intel Core 2 Duo T5250 1.50GHz/2GB/250GB)-CNF74280RF,15 Days Testing Warranty.,Pavillion DV6500,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,HP-Pavillion DV6500 (Intel Core 2 Duo T5250 1.50GHz/2GB/250GB)-CNF74280RF,simple,15 Days Testing Warranty.,No,No,10.8V-47WH
admin,base,Laptops,simple,"3,11",QCNBB001609,2,No,"Catalog, Search",GST0.36,Asus,,QCNBK-B,"Asus-X55U-SX111D (AMD C-70 APU with Radean HD 1.00GHz/2GB/500GB 15.6"")-D6N0CX44091226A",15 Days Testing Warranty.,X55U-SX111D,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Asus-X55U-SX111D (AMD C-70 APU with Radean HD 1.00GHz/2GB/500GB 15.6"")-D6N0CX44091226A",simple,15 Days Testing Warranty.,No,No,10.8V--4400mAh
admin,base,Laptops,simple,"3,11",QCNBB001610,2,No,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-INSP N5050 (Core I5 2450M 2.50GHz/4GB/500GB 15.6"")-FFYPKT1",15 Days Testing Warranty.,INSP N5050,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP N5050 (Core I5 2450M 2.50GHz/4GB/500GB 15.6"")-FFYPKT1",simple,15 Days Testing Warranty.,No,No,11.1V--48Wh
admin,base,Laptops,simple,"3,11",QCNBB001611,2,No,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-Pavillion DV2 (AMD Athon MV-40 1.60GHz/2GB/320GB 11.0"")-CNC909229X",15 Days Testing Warranty.,Pavillion DV2,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavillion DV2 (AMD Athon MV-40 1.60GHz/2GB/320GB 11.0"")-CNC909229X",simple,15 Days Testing Warranty.,No,No,10.8V--4400mAh
admin,base,Laptops,simple,"3,11",QCNBB001612,2,No,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,"Dell-INSP N4110 (Core I3 2310 2.10GHz/4GB/500GB 14.0"")-D3NCVQ1",15 Days Testing Warranty.,INSP N4110,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP N4110 (Core I3 2310 2.10GHz/4GB/500GB 14.0"")-D3NCVQ1",simple,15 Days Testing Warranty.,No,No,11.1V--48Wh
admin,base,Laptops,simple,"3,11",QCNBB001613,2,No,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,"Dell-INSP N5010 (Core I3 M370 2.40GHz/4GB/500GB 15.6"")-9YD8XM1",15 Days Testing Warranty.,INSP N5010,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP N5010 (Core I3 M370 2.40GHz/4GB/500GB 15.6"")-9YD8XM1",simple,15 Days Testing Warranty.,No,No,11.1V--48Wh
admin,base,Laptops,simple,"3,11",QCNBB001614,2,No,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,"Dell-Vostro (Core I3 2330M 2.20GHz/8GB/320GB 14.0"")-C7KYMP1",15 Days Testing Warranty.,Vostro,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Vostro (Core I3 2330M 2.20GHz/8GB/320GB 14.0"")-C7KYMP1",simple,15 Days Testing Warranty.,No,No,11.1V--48Wh
admin,base,Laptops,simple,"3,11",QCNBB001615,2,No,"Catalog, Search",GST0.36,Sony,Core i3,QCNBK-B,"Sony-PCG-71811W (Core I3 2330M 2.20GHz/2GB/320GB 15.6"")-C106GS5Q",15 Days Testing Warranty.,PCG-71811W,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Sony-PCG-71811W (Core I3 2330M 2.20GHz/2GB/320GB 15.6"")-C106GS5Q",simple,15 Days Testing Warranty.,No,No,10.8V--2200mAh
admin,base,Laptops,simple,"3,11",QCNBB001616,2,No,"Catalog, Search",GST0.36,Sony,,QCNBK-B,"Sony-PCG-71C11W (AMD E-450 APU 1.65GHz/2GB/500GB 15.6"")-C9031CL7",15 Days Testing Warranty.,PCG-71C11W,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Sony-PCG-71C11W (AMD E-450 APU 1.65GHz/2GB/500GB 15.6"")-C9031CL7",simple,15 Days Testing Warranty.,No,No,10.8V--4000mAh
admin,base,Laptops,simple,"3,11",QCNBB001617,2,No,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,"Dell-INSP N5010 (Core I3 2330M 2.20GHz/3GB/320GB 15.6"")-26RK7R1",15 Days Testing Warranty.,INSP N5010,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP N5010 (Core I3 2330M 2.20GHz/3GB/320GB 15.6"")-26RK7R1",simple,15 Days Testing Warranty.,No,No,11.1V--48Wh
admin,base,Laptops,simple,"3,11",QCNBB001618,2,No,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,"Dell-INSP 1564 (Core I3 M330 2.13GHz/4GB/320GB 15.6"")-GGMY4BS",15 Days Testing Warranty.,INSP 1564,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP 1564 (Core I3 M330 2.13GHz/4GB/320GB 15.6"")-GGMY4BS",simple,15 Days Testing Warranty.,No,No,11.1V--56Wh
admin,base,Laptops,simple,"3,11",QCNBB001619,2,No,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,Dell-N4010 (CORE I3-M350 / 2.27GHZ / 2GB / 320GB 14.0'')-F8PQBN1,15 Days Testing Warranty.,N4010,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Dell-N4010 (CORE I3-M350 / 2.27GHZ / 2GB / 320GB 14.0'')-F8PQBN1,simple,15 Days Testing Warranty.,No,No,11.1V ---4000MAH
admin,base,Laptops,simple,"3,11",QCNBB001620,2,No,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,"Dell-INSP N5010 (Core I3 M370 2.40GHz/3GB/500GB 15.6"")-H2SY6BS",15 Days Testing Warranty.,INSP N5010,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP N5010 (Core I3 M370 2.40GHz/3GB/500GB 15.6"")-H2SY6BS",simple,15 Days Testing Warranty.,No,No,11.1V--56Wh
admin,base,Laptops,simple,"3,11",QCNBB001621,2,No,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-INSP 5421 (Core I5 3337U 1.80GHz/8GB/500GB 14.0"")-2KQ1lw1",15 Days Testing Warranty.,INSP 5421,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP 5421 (Core I5 3337U 1.80GHz/8GB/500GB 14.0"")-2KQ1lw1",simple,15 Days Testing Warranty.,No,No,11.1V--65Wh
admin,base,Laptops,simple,"3,11",QCNBB001622,2,No,"Catalog, Search",GST0.36,HP,Core i3,QCNBK-B,"HP-Pavillion DV4_2103TU (Core I3 M330 2.13GHz/4GB/500GB 14.0"")-CND0071F6W",15 Days Testing Warranty.,Pavillion DV4_2103TU,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavillion DV4_2103TU (Core I3 M330 2.13GHz/4GB/500GB 14.0"")-CND0071F6W",simple,15 Days Testing Warranty.,No,No,10.8V--5000mAh
admin,base,Laptops,simple,"3,11",QCNBB001623,2,No,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,"Dell-Studio 1558 (Core I3 M350 2.27GHz/3GB/320GB 15.6"")-497L5BS",15 Days Testing Warranty.,Studio 1558,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Studio 1558 (Core I3 M350 2.27GHz/3GB/320GB 15.6"")-497L5BS",simple,15 Days Testing Warranty.,No,No,11.1V--4400mAh
